SDK,DAT,PRA,DES,CON,PUR,text
,"Data Type Category,. Identifiers.. Data Type,. Device ID.",,,"Relevance to NextGen SDK Data Collection Policies,. NextGen SDK collects Ad ID ( Identifier for Advertisers ) when made available by the user per the device settings.","Collection Purposes,. Advertising or marketing Fraud prevention, security and compliance.","Data Type Category, Identifiers. Data Type, Device ID. Collection Purposes, Advertising or marketing Fraud prevention, security and compliance. Relevance to NextGen SDK Data Collection Policies, NextGen SDK collects Ad ID (Identifier for Advertisers) when made available by the user per the device settings."
,"Data Type Category,. Usage Data.. Data Type,. Advertising Data.",,"( e. g. impressions, advertiser name, clicks, completions ).","Relevance to NextGen SDK Data Collection Policies,. NextGen SDK collects information related to the ads served to users of the app via the Smaato services","Collection Purposes,. Advertising or marketing Fraud prevention, security and compliance.","Data Type Category, Usage Data. Data Type, Advertising Data. Collection Purposes, Advertising or marketing Fraud prevention, security and compliance. Relevance to NextGen SDK Data Collection Policies, NextGen SDK collects information related to the ads served to users of the app via the Smaato services (e.g. impressions, advertiser name, clicks, completions)."
,"Data Type Category,. Location.. Data Type,. Precise Location.",,,"Relevance to NextGen SDK ’ s Data Collection Policies,. It is optional for publishers to share “ precise location ” and allow NextGen SDK to collect it. This means that only if the publishers allows its app to collect location data from users after obtaining user ’ s explicit consent to such data collection, then such data is also collected via the NextGen SDK. NextGenSDK does not collect or attempt to collect such information independently.","Collection Purposes,. Advertising or marketing Fraud prevention, security and compliance.","Data Type Category, Location. Data Type, Precise Location. Collection Purposes, Advertising or marketing Fraud prevention, security and compliance. Relevance to NextGen SDK’s Data Collection Policies, It is optional for publishers to share “precise location” and allow NextGen SDK to collect it. This means that only if the publishers allows its app to collect location data from users after obtaining user’s explicit consent to such data collection, then such data is also collected via the NextGen SDK. NextGenSDK does not collect or attempt to collect such information independently."
,"Data Type,. Coarse Location.",,,"Relevance to NextGen SDK ’ s Data Collection Policies,. It is optional for publishers to share “ coarse location ” and allow NextGen SDK to collect it. This means that only if the publishers allows its app to collect location data from users after obtaining user ’ s explicit consent to such data collection, then such data is also collected via the NextGen SDK. NextGenSDK does not collect or attempt to collect such information independently.","Collection Purposes,. Advertising or marketing Fraud prevention, security and compliance.","Data Type, Coarse Location. Collection Purposes, Advertising or marketing Fraud prevention, security and compliance. Relevance to NextGen SDK’s Data Collection Policies, It is optional for publishers to share “coarse location” and allow NextGen SDK to collect it. This means that only if the publishers allows its app to collect location data from users after obtaining user’s explicit consent to such data collection, then such data is also collected via the NextGen SDK. NextGenSDK does not collect or attempt to collect such information independently."
