SDK,DAT,PRA,DES,CON,PUR,text
,"Location,. the user ’ s approximate location?.","Collected,. Yes.. Shared,. Yes.. Required,. Yes.",,,"Purpose,. Advertising or marketing, analytics, app functionality, fraud prevention, security, and compliance.","Location, Does the SDK collect the user’s approximate location?. Collected, Yes. Shared, Yes. Ephemeral, No. Required, Yes. Purpose, Advertising or marketing, analytics, app functionality, fraud prevention, security, and compliance."
,"Location,. the user ’ s precise location?.","Collected,. No.. Shared,. Not applicable ( N / A ).. Required,. N / A.",,,"Purpose,. N / A.","Location, Does the SDK collect the user’s precise location?. Collected, No. Shared, Not applicable (N/A). Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Personal information,. the user ’ s name?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A ].","Personal information, Does the SDK collect the user’s name?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A]."
,"Personal information,. the user ’ s email address?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Personal information, Does the SDK collect the user’s email address?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Personal information,. the user ’ s personal identifiers?.","Collected,. Yes.. Shared,. Yes.. Required,. Yes.",,,"Purpose,. App functionality.","Personal information, Does the SDK collect the user’s personal identifiers?. Collected, Yes. Shared, Yes. Ephemeral, No. Required, Yes. Purpose, App functionality."
,"Personal information,. the user ’ s address?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Personal information, Does the SDK collect the user’s address?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Personal information,. the user ’ s phone number?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Personal information, Does the SDK collect the user’s phone number?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Personal information,. the user ’ s race and ethnicity?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Personal information, Does the SDK collect the user’s race and ethnicity?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Personal information,. the user ’ s political or religious beliefs?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Personal information, Does the SDK collect the user’s political or religious beliefs?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Personal information,. the user ’ s sexual orientation or gender identity?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Personal information, Does the SDK collect the user’s sexual orientation or gender identity?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Personal information,. the user ’ s other personal information?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Personal information, Does the SDK collect any of the user’s other personal information?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Financial info,. the user ’ s purchase history?.","Collected,. Yes *.. Shared,. Yes.. Required,. No * *.",,,"Purpose,. Advertising or marketing, analytics.","Financial info, Does the SDK collect the user’s purchase history?. Collected, Yes*. Shared, Yes. Ephemeral, No. Required, No**. Purpose, Advertising or marketing, analytics."
,"Financial info,. the user ’ s credit info?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Financial info, Does the SDK collect the user’s credit info?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Financial info,. the user ’ s credit card, debit card, or bank account number?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Financial info, Does the SDK collect the user’s credit card, debit card, or bank account number?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Financial info,. the user ’ s other financial info?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Financial info, Does the SDK collect any of the user’s other financial info?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Health and fitness,. the user ’ s health information?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Health and fitness, Does the SDK collect the user’s health information?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Health and fitness,. the user ’ s fitness information?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Health and fitness, Does the SDK collect the user’s fitness information?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Messages,. the user ’ s emails?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Messages, Does the SDK collect the user’s emails?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Messages,. the user ’ s SMS or MMS messages?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Messages, Does the SDK collect the user’s SMS or MMS messages?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Messages,. the user ’ s other in - app messages?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Messages, Does the SDK collect any of the user’s other in-app messages?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Photos and videos,. the user ’ s photos?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Photos and videos, Does the SDK collect the user’s photos?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Photos and videos,. the user ’ s videos?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Photos and videos, Does the SDK collect the user’s videos?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Audio files,. the user ’ s voice or sound recordings?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Audio files, Does the SDK collect the user’s voice or sound recordings?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Audio files,. the user ’ s music files?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Audio files, Does the SDK collect the user’s music files?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Audio files,. the user ’ s other audio files?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Audio files, Does the SDK collect any of the user’s other audio files?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Files and docs,. the user ’ s files and or documents?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Files and docs, Does the SDK collect the user’s files and or documents?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Calendar,. the user ’ s calendar events?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Calendar, Does the SDK collect the user’s calendar events?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
,"Contacts,. the user ’ s contacts?.","Collected,. No.. Shared,. N / A.. Required,. N / A.",,,"Purpose,. N / A.","Contacts, Does the SDK collect the user’s contacts?. Collected, No. Shared, N/A. Ephemeral, N/A. Required, N/A. Purpose, N/A."
