SDK,DAT,PRA,DES,CON,PUR,text
,"Category,. App activity.. Data Type,. App interactions.","Is it collected by Singular?,. Yes.",,"Additional Comments,. By default, the Singular SDK measures app opens.",,"Category, App activity. Data Type, App interactions. Is it collected by Singular?, Yes. Additional Comments, By default, the Singular SDK measures app opens."
,"Category,. App activity.. Data Type,. In - app search history.","Is it collected by Singular?,. Optional.",,"Additional Comments,. You may decide to use Singular to measure this data type.",,"Category, App activity. Data Type, In-app search history. Is it collected by Singular?, Optional. Additional Comments, You may decide to use Singular to measure this data type."
,"Category,. App activity.. Data Type,. Installed apps.","Is it collected by Singular?,. No.",,,,"Category, App activity. Data Type, Installed apps. Is it collected by Singular?, No."
,"Category,. App activity.. Data Type,. Other user - generated content.","Is it collected by Singular?,. Optional.",,"Additional Comments,. You may decide to use Singular to measure this data type.",,"Category, App activity. Data Type, Other user-generated content. Is it collected by Singular?, Optional. Additional Comments, You may decide to use Singular to measure this data type."
,"Category,. App activity.. Data Type,. Other actions.","Is it collected by Singular?,. Optional.",,"Additional Comments,. You may decide to use Singular to measure this data type.",,"Category, App activity. Data Type, Other actions. Is it collected by Singular?, Optional. Additional Comments, You may decide to use Singular to measure this data type."
,"Category,. Web browsing.. Data Type,. Web browsing history.","Is it collected by Singular?,. No.",,,,"Category, Web browsing. Data Type, Web browsing history. Is it collected by Singular?, No."
,"Category,. App info and performance.. Data Type,. Crash logs.","Is it collected by Singular?,. No.",,,,"Category, App info and performance. Data Type, Crash logs. Is it collected by Singular?, No."
,"Category,. App info and performance.. Data Type,. Diagnostics.","Is it collected by Singular?,. No.",,,,"Category, App info and performance. Data Type, Diagnostics. Is it collected by Singular?, No."
,"Category,. App info and performance.. Data Type,. Other app performance data.","Is it collected by Singular?,. No.",,,,"Category, App info and performance. Data Type, Other app performance data. Is it collected by Singular?, No."
,"Category,. Device or other IDs.. Data Type,. Device or other IDs.","Is it collected by Singular?,. Yes.",,"Additional Comments,. Google Advertising ID and App Set ID are collected when permission is granted.",,"Category, Device or other IDs. Data Type, Device or other IDs. Is it collected by Singular?, Yes. Additional Comments, Google Advertising ID and App Set ID are collected when permission is granted."
