SDK,DAT,PRA,DES,CON,PUR,text
,"Category,. Location.. Data Type,. Approximate location.","Is it collected by Singular?,. No.",,,,"Category, Location. Data Type, Approximate location. Is it collected by Singular?, No."
,"Category,. Location.. Data Type,. Precise location.","Is it collected by Singular?,. No.",,,,"Category, Location. Data Type, Precise location. Is it collected by Singular?, No."
,"Category,. Personal info.. Data Type,. Name.","Is it collected by Singular?,. No.",,,,"Category, Personal info. Data Type, Name. Is it collected by Singular?, No."
,"Category,. Personal info.. Data Type,. Email address.","Is it collected by Singular?,. No.",,,,"Category, Personal info. Data Type, Email address. Is it collected by Singular?, No."
,"Category,. Personal info.. Data Type,. User IDs.","Is it collected by Singular?,. No.",,,,"Category, Personal info. Data Type, User IDs. Is it collected by Singular?, No."
,"Category,. Personal info.. Data Type,. Address.","Is it collected by Singular?,. No.",,,,"Category, Personal info. Data Type, Address. Is it collected by Singular?, No."
,"Category,. Personal info.. Data Type,. Phone number.","Is it collected by Singular?,. No.",,,,"Category, Personal info. Data Type, Phone number. Is it collected by Singular?, No."
,"Category,. Personal info.. Data Type,. Race and ethnicity.","Is it collected by Singular?,. No.",,,,"Category, Personal info. Data Type, Race and ethnicity. Is it collected by Singular?, No."
,"Category,. Personal info.. Data Type,. Political or religious beliefs.","Is it collected by Singular?,. No.",,,,"Category, Personal info. Data Type, Political or religious beliefs. Is it collected by Singular?, No."
,"Category,. Personal info.. Data Type,. Sexual orientation.","Is it collected by Singular?,. No.",,,,"Category, Personal info. Data Type, Sexual orientation. Is it collected by Singular?, No."
,"Category,. Personal info.. Data Type,. Other info.","Is it collected by Singular?,. No.",,,,"Category, Personal info. Data Type, Other info. Is it collected by Singular?, No."
,"Category,. Financial info.. Data Type,. User payment info.","Is it collected by Singular?,. No.",,,,"Category, Financial info. Data Type, User payment info. Is it collected by Singular?, No."
,"Category,. Financial info.. Data Type,. Purchase history.","Is it collected by Singular?,. Optional.",,"Additional Comments,. You may decide to use Singular to measure some or all purchase events.",,"Category, Financial info. Data Type, Purchase history. Is it collected by Singular?, Optional. Additional Comments, You may decide to use Singular to measure some or all purchase events."
,"Category,. Financial info.. Data Type,. Credit score.","Is it collected by Singular?,. No.",,,,"Category, Financial info. Data Type, Credit score. Is it collected by Singular?, No."
,"Category,. Financial info.. Data Type,. Other financial info.","Is it collected by Singular?,. No.",,,,"Category, Financial info. Data Type, Other financial info. Is it collected by Singular?, No."
,"Category,. Health and fitness.. Data Type,. Health info.","Is it collected by Singular?,. No.",,,,"Category, Health and fitness. Data Type, Health info. Is it collected by Singular?, No."
,"Category,. Health and fitness.. Data Type,. Fitness info.","Is it collected by Singular?,. No.",,,,"Category, Health and fitness. Data Type, Fitness info. Is it collected by Singular?, No."
,"Category,. Messages.. Data Type,. Emails.","Is it collected by Singular?,. No.",,,,"Category, Messages. Data Type, Emails. Is it collected by Singular?, No."
,"Category,. Messages.. Data Type,. SMS or MMS.","Is it collected by Singular?,. No.",,,,"Category, Messages. Data Type, SMS or MMS. Is it collected by Singular?, No."
,"Category,. Messages.. Data Type,. Other in - app messages.","Is it collected by Singular?,. No.",,,,"Category, Messages. Data Type, Other in-app messages. Is it collected by Singular?, No."
,"Category,. Photos and videos.. Data Type,. Photos.","Is it collected by Singular?,. No.",,,,"Category, Photos and videos. Data Type, Photos. Is it collected by Singular?, No."
,"Category,. Photos and videos.. Data Type,. Vidoes.","Is it collected by Singular?,. No.",,,,"Category, Photos and videos. Data Type, Vidoes. Is it collected by Singular?, No."
,"Category,. Audio files.. Data Type,. Voice or sound records.","Is it collected by Singular?,. No.",,,,"Category, Audio files. Data Type, Voice or sound records. Is it collected by Singular?, No."
,"Category,. Audio files.. Data Type,. Music files.","Is it collected by Singular?,. No.",,,,"Category, Audio files. Data Type, Music files. Is it collected by Singular?, No."
,"Category,. Audio files.. Data Type,. Other audio files.","Is it collected by Singular?,. No.",,,,"Category, Audio files. Data Type, Other audio files. Is it collected by Singular?, No."
,"Category,. Files and docs.. Data Type,. Files and docs.","Is it collected by Singular?,. No.",,,,"Category, Files and docs. Data Type, Files and docs. Is it collected by Singular?, No."
,"Category,. Calendar.. Data Type,. Calendar events.","Is it collected by Singular?,. No.",,,,"Category, Calendar. Data Type, Calendar events. Is it collected by Singular?, No."
,"Category,. Contacts.. Data Type,. Contacts.","Is it collected by Singular?,. No.",,,,"Category, Contacts. Data Type, Contacts. Is it collected by Singular?, No."
