SDK,DAT,PRA,DES,CON,PUR,text
,"Category,. App information and performance.. Data Type,. Crash logs.","Collected?,. Yes.. Shared With Other 3rd Parties?,. No.",,,"Purpose,. Collect crash information from our SDK.","Category, App information and performance. Data Type, Crash logs. Collected?, Yes. Shared With Other 3rd Parties?, No. Purpose, Collect crash information from our SDK."
,"Category,. App information and performance.. Data Type,. Diagnostics.","Collected?,. Yes.. Shared With Other 3rd Parties?,. Yes.","{ Battery information, network information, storage space information, locale information, audio information }",,"Purpose,. to improve users ' ad experience.","Category, App information and performance. Data Type, Diagnostics. Collected?, Yes. Shared With Other 3rd Parties?, Yes. Purpose, {Battery information, network information, storage space information, locale information, audio information} to improve users' ad experience."
,"Category,. Device identifiers.. Data Type,. Advertising ID, Android ID ( when GPS is not available ), App Set ID.","Collected?,. Yes.. Shared With Other 3rd Parties?,. Yes.",,,"Purpose,. Device identifiers are collected for attribution and targeting purposes, in compliance with Google ' s privacy policy.","Category, Device identifiers. Data Type, Advertising ID, Android ID (when GPS is not available), App Set ID. Collected?, Yes. Shared With Other 3rd Parties?, Yes. Purpose, Device identifiers are collected for attribution and targeting purposes, in compliance with Google's privacy policy."
,"Category,. Ad Interactions.. Data Type,. Interactions with ad creative.","Collected?,. Yes.. Shared With Other 3rd Parties?,. Yes.",,,"Purpose,. Used for measuring ad performance.","Category, Ad Interactions. Data Type, Interactions with ad creative. Collected?, Yes. Shared With Other 3rd Parties?, Yes. Purpose, Used for measuring ad performance."
