SDK,DAT,PRA,DES,CON,PUR,text
,"Device make and model,. Operating system name ( iOS / Android ) and version,. Language the device is configured in,. Device name",,( only in Android : either a developer - defined string or the device hostname ).,,,"The Bugfender SDK collects the following details automatically: Device make and model,  Operating system name (iOS/Android) and version,  Language the device is configured in,  Device name (only in Android: either a developer-defined string or the device hostname)."
,"Custom device key - values,",,"such as identifiers to locate the specific device of a user,",,,
,"User interactions with your application,. Application crash stacktraces,. Any other user activity or internal application state.",,,,"Bugfender may use aggregated data for statistical analyses to improve the service, but will not use or resell the data for commercial purposes ( see details in the privacy policy ).","Additionally, you may choose to collect (all of these are optional): Custom device key-values, such as identifiers to locate the specific device of a user,  User interactions with your application,  Application crash stacktraces,  Any other user activity or internal application state.. Bugfender may use aggregated data for statistical analyses to improve the service, but will not use or resell the data for commercial purposes (see details in the privacy policy)."
