SDK,DAT,PRA,DES,CON,PUR,text
,Location. Location. 1. Location. 2.,,,,,Location Location.1 Location.2.
,Exact location,No Collecting this data is disabled by default in all SDK versions starting from 5. 0. 0 The app developer can configure transmission of this data by enabling the Location tracking parameter in the SDK settings,"The location of the user or device within an area of less than three square kilometers, for example, a location obtained using the Android permission ACCESS _ FINE _ LOCATION",,,"Exact location The location of the user or device within an area of less than three square kilometers, for example, a location obtained using the Android permission  ACCESS_FINE_LOCATION  . No  Collecting this data is disabled by default in all SDK versions starting from 5.0.0  The app developer can configure transmission of this data by enabling the  Location tracking  parameter in the  SDK settings  ."
,Approximate location,No Collecting this data is disabled by default in all SDK versions starting from 5. 0. 0 The app developer can configure transmission of this data by enabling the Location tracking parameter in the SDK settings,"The location of the user or device within an area of three square kilometers, for example, the city in which the user is located or a location obtained using the Android permission ACCESS _ COARSE _ LOCATION",,,"Approximate location The location of the user or device within an area of three square kilometers, for example, the city in which the user is located or a location obtained using the Android permission  ACCESS_COARSE_LOCATION  . No  Collecting this data is disabled by default in all SDK versions starting from 5.0.0  The app developer can configure transmission of this data by enabling the  Location tracking  parameter in the  SDK settings  ."
,Location. Location. 1. Location. 2.,,,,,Location Location.1 Location.2.
,Exact location,No Collecting this data is disabled by default in all SDK versions starting from 5. 0. 0 The app developer can configure transmission of this data by enabling the Location tracking parameter in the SDK settings,"The location of the user or device within an area of less than three square kilometers, for example, a location obtained using the Android permission ACCESS _ FINE _ LOCATION",,,"Exact location The location of the user or device within an area of less than three square kilometers, for example, a location obtained using the Android permission  ACCESS_FINE_LOCATION  . No  Collecting this data is disabled by default in all SDK versions starting from 5.0.0  The app developer can configure transmission of this data by enabling the  Location tracking  parameter in the  SDK settings  ."
,Approximate location,No Collecting this data is disabled by default in all SDK versions starting from 5. 0. 0 The app developer can configure transmission of this data by enabling the Location tracking parameter in the SDK settings,"The location of the user or device within an area of three square kilometers, for example, the city in which the user is located or a location obtained using the Android permission ACCESS _ COARSE _ LOCATION",,,"Approximate location The location of the user or device within an area of three square kilometers, for example, the city in which the user is located or a location obtained using the Android permission  ACCESS_COARSE_LOCATION  . No  Collecting this data is disabled by default in all SDK versions starting from 5.0.0  The app developer can configure transmission of this data by enabling the  Location tracking  parameter in the  SDK settings  ."
,Personal information. Personal information. 1. Personal information. 2.,,,,,Personal information Personal information.1 Personal information.2.
,Name,No The app developer can configure the transmission of this data.,"The user ' s preferred name : first name, last name, or pseudonym.",,,"Name The user's preferred name: first name, last name, or pseudonym. No  The app developer can configure the transmission of this data."
,Email address,No The app developer can configure the transmission of this data.,The user ' s email address.,,,Email address The user's email address. No  The app developer can configure the transmission of this data.
,User IDs,No The app developer can configure the transmission of this data.,"User IDs, such as number, ID, or account name.",,,"User IDs User IDs, such as number, ID, or account name. No  The app developer can configure the transmission of this data."
,Address,No The app developer can configure the transmission of this data.,"The user ' s address, such as their mailing or home address.",,,"Address The user's address, such as their mailing or home address. No  The app developer can configure the transmission of this data."
,Phone number,No The app developer can configure the transmission of this data.,The user ' s phone number.,,,Phone number The user's phone number. No  The app developer can configure the transmission of this data.
,Race and ethnicity,No The app developer can configure the transmission of this data.,Information about the user ' s race or ethnicity.,,,Race and ethnicity Information about the user's race or ethnicity. No  The app developer can configure the transmission of this data.
